 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,588,255,0,255,255,255,740.379,17.743,740.379,17.743,98.426,728.000,2.000,26,32,32.384,23.118,65.283,0.763,34.713,149940,255,NaN,NaN,100,149940,728,30,41.496,23.810,1.401,0.714,0.904,740,2,5.974,1.458,0.845,0.707,3,650.500,94.940,32.809,0.890,0.738,8.144,0.844,0.832,8.383
2,1401,255,0,255,255,255,639.423,27.607,639.423,27.607,161.095,612.000,3.000,53,46,61.956,28.791,34.987,0.678,63.514,357255,255,NaN,NaN,100,357255,612,42,33.440,32.757,2.152,0.465,0.896,655,3,8.697,1.939,0.682,0.575,5,1564.000,147.212,32.219,0.871,0.784,8.277,0.733,0.606,6.697
3,529,255,0,255,255,255,764.857,18.814,764.857,18.814,91.941,752.000,6.000,27,26,28.041,24.020,30.984,0.786,32.450,134895,255,NaN,NaN,100,134895,752,27,33.690,25.055,1.167,0.857,0.921,757,6,5.754,1.295,0.926,0.754,3,574.500,89.222,30.647,0.877,0.699,7.881,0.877,0.905,8.911
4,883,255,0,255,255,255,565.116,26.660,565.116,26.660,119.296,544.000,12.000,44,30,44.966,25.003,31.244,0.780,48.301,225165,255,NaN,NaN,100,225165,545,39,27.096,26.716,1.798,0.556,0.950,566,12,7.402,1.808,0.746,0.669,3,929.500,113.488,39.765,0.881,0.710,7.955,0.779,0.677,7.283
5,687,255,0,255,255,255,812.986,30.347,812.986,30.347,104.711,797.000,13.000,33,34,35.280,24.793,58.585,0.787,35.511,175185,255,NaN,NaN,100,175185,805,47,57.653,24.696,1.423,0.703,0.915,812,13,6.561,1.438,0.838,0.612,3,750.500,101.977,34.904,0.876,0.698,7.870,0.852,0.843,8.475
6,1205,255,0,255,255,255,593.348,35.099,593.348,35.099,146.610,569.000,15.000,48,42,55.246,27.771,40.593,0.704,56.586,307275,255,NaN,NaN,100,307275,572,55,43.568,32.733,1.989,0.503,0.900,602,15,8.219,1.729,0.709,0.598,5,1339.500,136.238,29.322,0.892,0.815,8.533,0.775,0.698,7.366
7,820,255,0,255,255,255,854.705,39.498,854.705,39.498,108.912,839.000,24.000,33,32,33.313,31.341,162.859,0.869,36.715,209100,255,NaN,NaN,100,209100,843,24,119.358,31.443,1.063,0.941,0.946,843,24,7.529,1.168,0.970,0.777,5,867.000,109.606,21.782,0.998,0.995,9.966,0.924,0.983,9.535
8,297,255,0,255,255,255,830.544,37.726,830.544,37.726,69.941,819.000,26.000,20,22,25.206,15.002,52.489,0.763,27.659,75735,255,NaN,NaN,100,75735,821,48,49.399,17.441,1.680,0.595,0.921,831,26,4.246,1.586,0.771,0.675,4,322.500,66.848,17.485,0.985,0.971,9.784,0.810,0.763,7.862
9,1000,255,0,255,255,255,523.623,44.963,523.623,44.963,127.054,503.000,28.000,43,34,43.677,29.151,23.439,0.778,46.648,255000,255,NaN,NaN,100,255000,503,55,30.964,31.753,1.498,0.667,0.923,524,28,7.871,1.469,0.817,0.684,5,1083.500,122.529,25.411,0.946,0.900,9.231,0.846,0.828,8.369
10,631,255,0,255,255,255,657.622,45.118,657.622,45.118,99.397,642.000,28.000,30,32,35.873,22.396,49.540,0.803,37.202,160905,255,NaN,NaN,100,160905,647,60,53.746,24.749,1.602,0.624,0.941,664,28,6.348,1.503,0.790,0.657,4,670.500,96.388,24.849,0.989,0.978,9.837,0.845,0.816,8.302
