 ,Neighbors,Image 1 zo-1 donut b&w.tif,Image 10 zo-1 donut b&w.tif,Image 11 zo-1 donut b&w.tif,Image 12 zo-1 donut b&w.tif,Image 13 zo-1 donut b&w.tif,Image 14 zo-1 donut b&w.tif,Image 15 zo-1 donut b&w.tif,Image 16 zo-1 donut b&w.tif,Image 17 zo-1 donut b&w.tif,Image 18 zo-1 donut b&w.tif,Image 19 zo-1 donut b&w.tif,Image 2 zo-1 donut b&w.tif,Image 20 zo-1 donut b&w.tif,Image 21 zo-1 donut b&w.tif,Image 22 zo-1 donut b&w.tif,Image 23 zo-1 donut b&w.tif,Image 24 zo-1 donut b&w.tif,Image 25 zo-1 donut b&w.tif,Image 26 zo-1 donut b&w.tif,Image 28 zo-1 donut b&w.tif,Image 29 zo-1 donut b&w.tif,Image 3 zo-1 donut b&w.tif,Image 30 zo-1 donut b&w.tif,Image 31 zo-1 donut b&w.tif,Image 32 zo-1 donut b&w.tif,Image 33 zo-1 donut b&w.tif,Image 34 zo-1 donut b&w.tif,Image 35 zo-1 donut b&w.tif,Image 36 zo-1 donut b&w.tif,Image 37 zo-1 donut b&w.tif,Image 39 zo-1 donut b&w.tif,Image 4 zo-1 donut b&w.tif,Image 40 zo-1 donut b&w.tif,Image 41 zo-1 donut b&w.tif,Image 42 zo-1 donut b&w.tif,Image 43 zo-1 donut b&w.tif,Image 44 zo-1 donut b&w.tif,Image 45 zo-1 donut b&w.tif,Image 46 zo-1 donut b&w.tif,Image 5 zo-1 donut b&w.tif,Image 6 zo-1 donut b&w.tif,Image 7 zo-1 donut b&w.tif,Image 8 zo-1 donut b&w.tif,Image 9 zo-1 donut b&w.tif,Sum of Frequencies
1,0,4,0,4,0,1,0,7,5,0,1,3,6,2,7,3,1,4,0,1,3,1,1,0,1,0,2,0,4,0,0,5,0,0,1,2,0,1,0,0,2,0,3,1,1,77
2,1,7,0,9,0,4,4,6,11,7,6,3,12,1,4,16,8,5,4,5,3,7,2,3,1,9,3,4,5,3,3,0,9,2,6,8,4,0,1,4,4,13,1,5,8,220
3,2,21,19,17,0,17,21,18,37,21,21,26,38,21,6,28,19,15,26,26,23,12,15,16,13,29,19,12,24,19,22,11,23,23,22,21,18,21,19,17,30,26,4,8,23,867
4,3,74,60,39,0,41,55,46,69,76,42,38,77,53,14,73,65,59,65,62,58,36,56,68,73,75,76,48,34,71,50,24,41,67,64,51,58,59,66,73,56,52,1,28,70,2363
5,4,122,144,63,0,48,100,69,88,133,71,82,92,103,19,91,129,87,125,105,101,55,97,116,149,134,100,66,72,121,113,35,53,107,106,76,114,139,121,130,88,77,0,26,96,3963
6,5,209,269,96,0,87,254,113,184,244,104,111,136,178,22,125,253,192,239,233,201,60,226,188,300,244,226,130,112,289,249,46,79,239,205,146,276,295,263,238,202,123,0,34,171,7591
7,6,264,319,87,0,71,337,157,179,286,92,127,109,196,30,102,311,237,276,259,239,47,283,205,408,280,263,144,93,359,257,64,107,372,246,166,330,323,341,303,207,143,0,28,211,8858
8,7,101,139,38,0,30,160,60,74,122,45,48,46,108,7,52,126,94,126,117,96,28,112,88,167,119,125,70,45,172,118,19,41,152,98,81,168,154,149,137,100,57,0,5,102,3896
9,8,27,48,12,0,11,35,15,23,29,7,9,6,27,1,17,24,25,30,32,20,7,28,31,44,35,19,14,13,32,34,8,11,28,16,29,27,35,34,50,18,11,0,3,19,944
10,9,6,15,5,0,4,5,0,3,6,1,4,3,9,1,8,6,7,7,7,5,2,3,5,10,4,5,2,8,3,7,2,2,1,11,4,9,18,6,10,8,4,0,0,7,233
