 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,223,255,0,255,255,255,616.975,15.303,616.975,15.303,58.284271247,609,6,17,18,19.665753726,14.438,52.861,0.825,21.095023110,56865,255,NaN,NaN,100,56865,611,24,58.570,16.303836005,1.362,0.734,0.921487603,619,6
2,441,255,0,255,255,255,647.890,19.697,647.890,19.697,81.012193309,637,7,24,25,25.442394091,22.069,68.313,0.844,26.925824036,112455,255,NaN,NaN,100,112455,638,30,31.329,23.702320561,1.153,0.867,0.925498426,648,7
3,274,255,0,255,255,255,683.266,17.493,683.266,17.493,62.526911935,673,7,19,19,20.465196051,17.047,45.418,0.881,22.022715546,69870,255,NaN,NaN,100,69870,676,26,50.528,18.981415059,1.201,0.833,0.939965695,683,7
4,520,255,0,255,255,255,703.846,21.013,703.846,21.013,87.254833996,691,8,27,26,26.474200808,25.009,15.194,0.858,29.068883707,132600,255,NaN,NaN,100,132600,693,11,139.185,24.738633754,1.059,0.945,0.938628159,702,8
5,872,255,0,255,255,255,592.484,24.740,592.484,24.740,115.740115370,573,10,37,32,35.720551798,31.082,13.827,0.818,38.948684188,222360,255,NaN,NaN,100,222360,579,37,41.878,31.841608000,1.149,0.870,0.929637527,592,10
6,254,255,0,255,255,255,630.087,22.476,630.087,22.476,61.698484810,622,11,15,22,22.184983798,14.578,87.411,0.838,22.803508502,64770,255,NaN,NaN,100,64770,627,11,105.255,15.000000000,1.522,0.657,0.923636364,627,11
7,704,255,0,255,255,255,789.922,28.482,789.922,28.482,104.811183182,773,12,33,32,32.189401486,27.846,153.740,0.805,35.846896658,179520,255,NaN,NaN,100,179520,773,22,157.011,28.858956049,1.156,0.865,0.917861799,786,12
8,646,255,0,255,255,255,819.438,26.873,819.438,26.873,96.911688245,805,12,29,30,30.706874061,26.786,132.448,0.864,33.286633954,164730,255,NaN,NaN,100,164730,805,20,147.265,28.679797231,1.146,0.872,0.935553946,813,12
9,544,255,0,255,255,255,730.869,28.730,730.869,28.730,90.083261121,716,16,29,26,28.906040890,23.962,166.287,0.842,31.622776602,138720,255,NaN,NaN,100,138720,719,19,145.305,25.381790601,1.206,0.829,0.932305056,728,16
10,718,255,0,255,255,255,761.142,31.898,761.142,31.898,103.982756057,745,16,33,31,35.916312902,25.453,135.474,0.834,37.443290454,183090,255,NaN,NaN,100,183090,752,16,124.114,27.481906273,1.411,0.709,0.932467532,752,16
11,283,255,0,255,255,255,665.419,27.087,665.419,27.087,65.597979746,655,17,20,21,21.257796955,16.950,62.366,0.826,22.671568098,72165,255,NaN,NaN,100,72165,655,32,41.424,17.195706083,1.254,0.797,0.914378029,662,17
12,815,255,0,255,255,255,560.165,36.048,560.165,36.048,109.396969620,545,20,33,34,32.716520286,31.718,47.104,0.856,35.468295702,207825,255,NaN,NaN,100,207825,546,47,40.426,32.741929727,1.031,0.969,0.939481268,562,20
13,317,255,0,255,255,255,888.891,31.273,888.891,31.273,68.526911935,877,22,23,18,25.845093087,15.617,152.648,0.848,27.202941017,80835,255,NaN,NaN,100,80835,878,23,143.973,16.916281623,1.655,0.604,0.951951952,879,22
14,525,255,0,255,255,255,847.696,35.230,847.696,35.230,87.597979746,834,23,27,25,29.580943792,22.597,141.513,0.860,33.301651611,133875,255,NaN,NaN,100,133875,835,25,138.652,23.678082349,1.309,0.764,0.936663693,843,23
15,248,255,0,255,255,255,616.214,34.000,616.214,34.000,60.426406871,607,25,19,20,18.952544607,16.661,88.648,0.854,20.880613018,63240,255,NaN,NaN,100,63240,611,25,106.699,18.027756377,1.138,0.879,0.920222635,611,25
16,528,255,0,255,255,255,681.958,39.210,681.958,39.210,88.183766184,667,27,29,23,28.680755852,23.440,22.305,0.853,30.675723300,134640,255,NaN,NaN,100,134640,667,44,19.026,23.000000000,1.224,0.817,0.942016057,676,27
17,544,255,0,255,255,255,532.642,40.075,532.642,40.075,89.597979746,519,28,26,27,27.060154095,25.596,136.620,0.852,29.832867780,138720,255,NaN,NaN,100,138720,522,29,140.440,26.000000000,1.057,0.946,0.938740293,525,28
18,180,255,0,255,255,255,908.017,36.217,908.017,36.217,51.112698372,901,28,15,17,17.698685906,12.949,128.861,0.866,19.209372712,45900,255,NaN,NaN,100,45900,901,29,141.340,14.142135624,1.367,0.732,0.913705584,905,28
19,446,255,0,255,255,255,505.251,39.112,505.251,39.112,92.769552622,487,29,34,20,33.438101921,16.983,14.675,0.651,36.769552622,113730,255,NaN,NaN,100,113730,487,43,22.380,17.705100628,1.969,0.508,0.901921132,512,29
20,1949,255,0,255,255,255,640.808,54.603,640.808,54.603,173.681240867,613,31,57,47,56.113517111,44.224,19.261,0.812,59.682493246,496995,255,NaN,NaN,100,496995,615,70,31.293,46.169725626,1.269,0.788,0.929866412,637,31
